Designator,Mid X,Mid Y,Rotation,Layer
A1,117.1956,-128.2446,0.0,top
C1,121.232549,-100.1268,180.0,top
C2,129.8048,-102.4128,0.0,top
C3,130.77,-111.3028,0.0,top
C4,96.3676,-95.25,0.0,top
C5,131.505887,-107.0102,180.0,top
C6,104.4956,-95.25,180.0,top
D1,93.853,-106.0704,270.0,top
D2,120.8532,-89.7258,180.0,top
D3,113.1874,-94.4118,0.0,top
D4,131.8564,-115.0366,0.0,top
D5,140.716,-102.5398,180.0,top
DCIN1,141.8066,-109.5782,90.0,top
J1,105.1002,-90.8304,270.0,top
J2,97.7154,-89.1006,270.0,top
J3,105.1002,-87.3252,270.0,top
J5,97.7392,-131.8006,270.0,top
J6,141.8574,-133.1702,90.0,top
R1,98.933,-98.7552,0.0,top
R10,105.1052,-137.0838,0.0,top
R11,105.1052,-139.6492,0.0,top
R12,133.858,-129.2606,180.0,top
R13,133.858,-131.8006,180.0,top
R14,133.858,-134.366,180.0,top
R15,133.858,-136.906,180.0,top
R16,133.858,-139.446,180.0,top
R17,133.858,-142.0114,180.0,top
R18,105.1052,-142.1892,180.0,top
R19,133.9342,-147.4216,0.0,top
R2,111.6584,-103.4034,0.0,top
R20,128.1176,-121.92,270.0,top
R21,133.9088,-144.5006,0.0,top
R22,105.029,-115.5192,0.0,top
R23,105.029,-118.11,0.0,top
R24,111.6076,-98.3488,180.0,top
R25,136.0678,-109.5502,90.0,top
R3,111.633,-100.9142,0.0,top
R4,105.106,-121.8438,0.0,top
R5,105.106,-124.3838,0.0,top
R6,105.106,-126.8984,0.0,top
R7,105.106,-129.4638,0.0,top
R8,105.106,-131.9784,0.0,top
R9,105.106,-134.5692,0.0,top
SW1,133.513,-122.5816,90.0,top
U1,101.1936,-106.0704,0.0,top
U2,136.7028,-92.1512,270.0,top
